i_trial,i_agente,t,t_tao
172,2,31,0.0031
173,2,4711,0.4711
174,2,3537,0.3537
175,2,2383,0.2383
176,2,5252,0.5252
177,2,721,0.0721
178,2,3043,0.3043
179,2,12061,1.2061
180,2,3341,0.3341
181,2,2833,0.2833
182,2,2097,0.2097
183,2,107,0.0107
184,2,5323,0.5323
185,2,1079,0.1079
186,2,1671,0.1671
187,2,3458,0.3458
188,2,2453,0.2453
189,2,1096,0.1096
190,2,6286,0.6286
191,2,15427,1.5427
192,2,7848,0.7848
193,2,2305,0.2305
194,2,252,0.0252
195,2,5665,0.5665
196,2,8306,0.8306
197,2,1775,0.1775
198,2,6839,0.6839
199,2,5679,0.5679
0,3,6192,0.6192
1,3,65435,6.5435
2,3,41782,4.1782
3,3,6731,0.6731
4,3,1058,0.1058
5,3,4935,0.4935
6,3,8858,0.8858
7,3,13626,1.3626
8,3,7650,0.765
9,3,6638,0.6638
10,3,2259,0.2259
11,3,1026,0.1026
12,3,4174,0.4174
13,3,646,0.0646
14,3,24779,2.4779
15,3,9330,0.933
16,3,6460,0.646
17,3,9489,0.9489
18,3,12713,1.2713
19,3,21172,2.1172
20,3,935,0.0935
21,3,3362,0.3362
22,3,3161,0.3161
23,3,14806,1.4806
24,3,30719,3.0719
25,3,2610,0.261
26,3,17424,1.7424
27,3,2611,0.2611
28,3,8910,0.891
29,3,4843,0.4843
30,3,10922,1.0922
31,3,4354,0.4354
32,3,5673,0.5673
33,3,5901,0.5901
34,3,11822,1.1822
35,3,11095,1.1095
36,3,7636,0.7636
37,3,833,0.0833
38,3,5968,0.5968
39,3,11018,1.1018
40,3,21811,2.1811
41,3,3680,0.368
42,3,790,0.079
43,3,7140,0.714
44,3,2145,0.2145
45,3,322,0.0322
46,3,5924,0.5924
47,3,666,0.0666
48,3,13736,1.3736
49,3,6417,0.6417
50,3,961,0.0961
51,3,6067,0.6067
52,3,10030,1.003
53,3,18754,1.8754
54,3,4658,0.4658
55,3,634,0.0634
56,3,740,0.074
57,3,2095,0.2095
58,3,2112,0.2112
59,3,2784,0.2784
60,3,1289,0.1289
61,3,2348,0.2348
62,3,1491,0.1491
63,3,509,0.0509
64,3,15056,1.5056
65,3,16931,1.6931
66,3,5239,0.5239
67,3,4536,0.4536
68,3,13429,1.3429
69,3,3565,0.3565
70,3,11169,1.1169
71,3,3485,0.3485
72,3,4264,0.4264
73,3,18776,1.8776
74,3,25456,2.5456
75,3,8509,0.8509
76,3,7668,0.7668
77,3,5624,0.5624
78,3,14610,1.461
79,3,3694,0.3694
80,3,295,0.0295
81,3,15675,1.5675
82,3,8641,0.8641
83,3,7841,0.7841
84,3,4024,0.4024
85,3,1797,0.1797
86,3,1696,0.1696
87,3,7552,0.7552
88,3,5439,0.5439
89,3,3040,0.304
90,3,4652,0.4652
91,3,418,0.0418
92,3,2667,0.2667
93,3,9651,0.9651
94,3,11908,1.1908
95,3,2267,0.2267
96,3,31602,3.1602
97,3,655,0.0655
98,3,11068,1.1068
99,3,1319,0.1319
100,3,7219,0.7219
101,3,835,0.0835
102,3,3329,0.3329
103,3,27626,2.7626
104,3,1862,0.1862
105,3,11078,1.1078
106,3,9961,0.9961
107,3,1531,0.1531
108,3,7097,0.7097
109,3,91119,9.1119
110,3,9661,0.9661
111,3,54,0.0054
112,3,1512,0.1512
113,3,1937,0.1937
114,3,2439,0.2439
115,3,2148,0.2148
116,3,1574,0.1574
117,3,3760,0.376
118,3,261,0.0261
119,3,2925,0.2925
120,3,3311,0.3311
121,3,14655,1.4655
122,3,1869,0.1869
123,3,603,0.0603
124,3,2093,0.2093
125,3,21937,2.1937
126,3,2549,0.2549
127,3,6072,0.6072
128,3,514,0.0514
129,3,429,0.0429
130,3,109,0.0109
131,3,12914,1.2914
132,3,3878,0.3878
133,3,1888,0.1888
134,3,5292,0.5292
135,3,6183,0.6183
136,3,3624,0.3624
137,3,519,0.0519
138,3,4759,0.4759
139,3,3887,0.3887
140,3,2850,0.285
141,3,2211,0.2211
142,3,3128,0.3128
143,3,1900,0.19
144,3,14268,1.4268
145,3,11500,1.15
146,3,2342,0.2342
147,3,5306,0.5306
148,3,1357,0.1357
149,3,2696,0.2696
150,3,1206,0.1206
151,3,19569,1.9569
152,3,20694,2.0694
153,3,1864,0.1864
154,3,165,0.0165
155,3,12644,1.2644
156,3,29342,2.9342
157,3,6074,0.6074
158,3,14416,1.4416
159,3,8046,0.8046
160,3,2408,0.2408
161,3,16397,1.6397
162,3,8440,0.844
163,3,4814,0.4814
